,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Georgetown,GY,2019-11-06,20,94,6.8,-58.16,77.0,4.7
1,Ipatovo,RU,2019-11-06,65,57,45.72,42.92,49.15,6.73
2,Fortuna,US,2019-11-06,90,100,40.6,-124.16,50.0,6.93
3,East London,ZA,2019-11-06,17,93,-33.02,27.91,66.2,5.82
4,Hasaki,JP,2019-11-06,20,39,35.73,140.83,72.0,5.82
5,Kapaa,US,2019-11-06,40,78,22.08,-159.32,82.4,2.3
6,Khatanga,RU,2019-11-06,0,82,71.98,102.47,-5.66,11.9
7,Puerto Del Rosario,ES,2019-11-06,82,60,28.5,-13.86,68.0,12.75
8,Sayyan,YE,2019-11-06,0,44,15.17,44.32,50.31,10.04
9,Avarua,CK,2019-11-06,100,78,-21.21,-159.78,73.4,6.93
10,Fukue,JP,2019-11-06,0,51,35.03,136.69,64.99,4.7
11,Rock Sound,BS,2019-11-06,67,84,24.9,-76.2,80.02,15.35
12,Busselton,AU,2019-11-06,0,33,-33.64,115.35,73.99,8.01
13,Kutum,SD,2019-11-06,0,26,14.2,24.66,64.62,3.29
14,Butaritari,KI,2019-11-06,65,71,3.07,172.79,84.83,9.66
15,Thompson,CA,2019-11-06,75,84,55.74,-97.86,5.0,4.7
16,Dingle,PH,2019-11-06,92,72,11.0,122.67,85.12,15.84
17,Lompoc,US,2019-11-06,1,87,34.64,-120.46,59.0,10.42
18,Ushuaia,AR,2019-11-06,90,98,-54.81,-68.31,35.6,6.93
19,Mar Del Plata,AR,2019-11-06,31,42,-46.43,-67.52,56.77,37.16
20,Sao Filipe,CV,2019-11-06,95,69,14.9,-24.5,77.94,19.51
21,North Bend,US,2019-11-06,90,100,43.41,-124.22,48.99,12.75
22,Vernon,CA,2019-11-06,90,87,50.27,-119.27,42.8,3.36
23,Kodiak,US,2019-11-06,1,72,39.95,-94.76,45.0,9.17
24,Cape Town,ZA,2019-11-06,75,93,-33.93,18.42,62.01,13.87
25,Lavrentiya,RU,2019-11-06,8,81,65.58,-170.99,25.66,12.08
26,Faanui,PF,2019-11-06,10,71,-16.48,-151.75,81.57,6.49
27,Torbay,CA,2019-11-06,90,86,47.66,-52.73,43.0,5.82
28,Garowe,SO,2019-11-06,100,85,8.41,48.48,73.74,4.52
29,Amahai,ID,2019-11-06,50,73,-3.31,129.0,81.12,4.16
30,Port Alfred,ZA,2019-11-06,56,85,-33.59,26.89,64.99,3.0
31,Hilo,US,2019-11-06,1,65,19.71,-155.08,82.4,5.82
32,Tiksi,RU,2019-11-06,80,96,71.64,128.87,-9.75,2.53
33,Cherskiy,RU,2019-11-06,87,75,68.75,161.3,14.32,1.36
34,Mataura,NZ,2019-11-06,80,69,-46.19,168.86,64.0,3.78
35,Xining,CN,2019-11-06,100,70,36.62,101.77,40.17,4.47
36,Kaitangata,NZ,2019-11-06,96,75,-46.28,169.85,55.0,11.01
37,Rundu,NA,2019-11-06,0,60,-17.91,19.77,73.4,8.05
38,Codrington,AU,2019-11-06,0,20,-28.95,153.24,82.4,6.93
39,Aranos,NA,2019-11-06,28,10,-24.14,19.11,71.83,11.3
40,Arraial Do Cabo,BR,2019-11-06,100,93,-22.97,-42.02,74.57,19.08
41,Albany,US,2019-11-06,20,69,42.65,-73.75,45.0,4.7
42,Pevek,RU,2019-11-06,88,79,69.7,170.27,15.67,3.74
43,Puerto Baquerizo Moreno,EC,2019-11-06,62,90,-0.9,-89.6,70.18,11.21
44,Rikitea,PF,2019-11-06,67,77,-23.12,-134.97,77.63,1.41
45,Kharan,PK,2019-11-06,0,40,28.58,65.42,61.88,6.38
46,Monrovia,LR,2019-11-06,72,85,6.33,-10.8,78.1,1.99
47,Waingapu,ID,2019-11-06,64,71,-9.65,120.26,81.55,6.64
48,Beloha,MG,2019-11-06,80,82,-25.17,45.06,71.65,11.48
49,Bayir,TR,2019-11-06,0,93,37.27,28.22,55.4,4.7
50,Ribeira Grande,PT,2019-11-06,100,72,38.52,-28.7,58.39,5.37
51,Saint-Philippe,CA,2019-11-06,90,70,45.36,-73.48,43.0,14.99
52,Smithers,CA,2019-11-06,90,80,54.78,-127.17,35.6,12.75
53,Terrace,CA,2019-11-06,75,93,54.52,-128.61,42.8,1.86
54,Castro,CL,2019-11-06,97,94,-42.48,-73.76,45.01,5.84
55,Sola,TZ,2019-11-06,60,64,-3.17,33.8,68.09,6.8
56,Mehamn,NO,2019-11-06,97,74,71.03,27.85,27.88,8.97
57,Barrow,AR,2019-11-06,0,62,-38.31,-60.23,51.89,9.35
58,Ust-Kut,RU,2019-11-06,100,83,56.78,105.75,14.11,5.06
59,Bogorodskoye,RU,2019-11-06,100,90,52.37,140.44,29.91,9.82
60,Punta Arenas,CL,2019-11-06,75,86,-53.16,-70.91,37.4,19.46
61,Deputatskiy,RU,2019-11-06,29,91,69.3,139.9,-6.09,3.71
62,Grindavik,IS,2019-11-06,90,74,63.84,-22.43,35.6,10.29
63,Kahului,US,2019-11-06,40,62,20.89,-156.47,84.2,4.7
64,Qaanaaq,GL,2019-11-06,0,57,77.48,-69.36,3.61,9.15
65,Victoria,BN,2019-11-06,75,78,5.28,115.24,80.6,9.17
66,Chuy,UY,2019-11-06,0,70,-33.69,-53.46,55.31,4.85
67,Souillac,FR,2019-11-06,0,93,45.6,-0.6,50.0,2.24
68,Isangel,VU,2019-11-06,75,58,-19.55,169.27,84.2,6.93
69,Jamestown,AU,2019-11-06,0,27,-33.21,138.6,75.06,24.05
70,Leningradskiy,RU,2019-11-06,64,79,69.38,178.42,14.99,7.94
71,Saint-Pierre,FR,2019-11-06,75,100,48.95,4.24,46.4,6.93
72,Yanam,IN,2019-11-06,100,70,16.73,82.22,84.2,3.36
73,Yellowknife,CA,2019-11-06,90,78,62.45,-114.38,10.4,2.24
74,Tual,ID,2019-11-06,100,71,-5.67,132.75,81.75,12.46
75,Lagoa,PT,2019-11-06,0,87,37.14,-8.45,55.99,6.93
76,Atuona,PF,2019-11-06,25,78,-9.8,-139.03,80.76,18.92
77,Severo-Kurilsk,RU,2019-11-06,64,81,50.68,156.12,36.14,17.72
78,Port Elizabeth,US,2019-11-06,40,71,39.31,-74.98,55.4,4.7
79,Nikolskoye,RU,2019-11-06,100,55,59.7,30.79,34.0,11.18
80,Bambous Virieux,MU,2019-11-06,40,83,-20.34,57.76,77.0,3.36
81,Kisangani,CD,2019-11-06,100,98,0.52,25.21,68.56,0.58
82,Hermanus,ZA,2019-11-06,88,66,-34.42,19.24,66.99,13.0
83,Santa Marta,CO,2019-11-06,75,78,11.24,-74.21,82.4,3.36
84,New Norfolk,AU,2019-11-06,75,19,-42.78,147.06,66.2,16.11
85,Norman Wells,CA,2019-11-06,75,84,65.28,-126.83,1.4,4.7
86,Samarai,PG,2019-11-06,86,85,-10.62,150.67,79.56,7.92
87,Ambovombe,MG,2019-11-06,71,85,-25.18,46.09,72.5,8.9
88,Galveston,US,2019-11-06,1,80,40.58,-86.19,34.0,5.53
89,Guerrero Negro,MX,2019-11-06,88,76,27.97,-114.04,66.61,11.81
90,Srednekolymsk,RU,2019-11-06,100,94,67.46,153.71,3.31,4.23
91,San Patricio,PY,2019-11-06,0,88,-26.98,-56.83,69.66,8.3
92,Margate,AU,2019-11-06,75,19,-43.03,147.26,66.2,16.11
93,Kavieng,PG,2019-11-06,100,83,-2.57,150.8,81.55,25.39
94,Baykit,RU,2019-11-06,100,94,61.68,96.39,15.1,4.09
95,Saint-Joseph,FR,2019-11-06,33,76,43.56,6.97,54.0,1.12
96,Honiara,SB,2019-11-06,75,55,-9.43,159.96,91.4,5.82
97,Saskylakh,RU,2019-11-06,23,96,71.97,114.09,-10.61,5.48
98,Upernavik,GL,2019-11-06,100,68,72.79,-56.15,17.8,6.04
99,Dongsheng,CN,2019-11-06,100,55,29.72,112.52,63.18,4.9
100,Cap-Chat,CA,2019-11-06,100,95,49.1,-66.68,40.08,8.05
101,Christiansburg,US,2019-11-06,1,66,37.13,-80.41,52.0,4.25
102,Emba,CY,2019-11-06,0,59,34.81,32.42,64.4,10.29
103,Bredasdorp,ZA,2019-11-06,100,87,-34.53,20.04,66.99,5.1
104,Anzoategui,CO,2019-11-06,75,94,4.63,-75.1,75.2,4.7
105,Geraldton,CA,2019-11-06,90,78,49.72,-86.95,15.8,6.93
106,Nurobod,UZ,2019-11-06,0,48,40.91,69.8,37.4,4.7
107,Gat,SN,2019-11-06,0,78,14.69,-16.54,75.2,13.87
108,Nazarovo,RU,2019-11-06,60,71,56.01,90.42,30.83,13.85
109,Bluff,AU,2019-11-06,69,14,-23.58,149.07,82.92,6.02
110,Bathurst,AU,2019-11-06,0,35,-33.42,149.58,68.0,4.0
111,South Charleston,US,2019-11-06,90,81,38.37,-81.7,44.6,3.42
112,Hobart,AU,2019-11-06,75,19,-42.88,147.33,66.2,16.11
113,Jumla,NP,2019-11-06,0,25,29.28,82.18,50.9,1.21
114,Russell,US,2019-11-06,1,65,38.9,-98.86,43.0,11.41
115,Santa Isabel Do Rio Negro,BR,2019-11-06,59,88,-0.41,-65.02,76.44,1.83
116,Bethel,US,2019-11-06,90,100,60.79,-161.76,30.2,11.41
117,Fort Smith,US,2019-11-06,90,59,35.39,-94.42,62.6,4.7
118,Leh,IN,2019-11-06,81,42,34.16,77.58,23.31,3.71
119,Lebu,ET,2019-11-06,1,83,8.96,38.73,47.97,1.63
120,Paamiut,GL,2019-11-06,98,87,61.99,-49.67,32.52,8.46
121,Tiznit,MA,2019-11-06,68,90,29.7,-9.73,52.3,2.95
122,Sao Joao Da Barra,BR,2019-11-06,69,83,-21.64,-41.05,77.43,6.46
123,Vaini,IN,2019-11-06,20,83,15.34,74.49,75.2,3.06
124,Contamana,PE,2019-11-06,55,97,-7.35,-75.01,73.11,1.95
125,Aksarka,RU,2019-11-06,100,86,66.56,67.8,16.72,15.19
